starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:03:38 2016	1476342218	0	24	24	23
Thu Oct 13 09:03:38 2016	1476342218	0	24	24	23
Thu Oct 13 09:03:38 2016	1476342218	0	24	24	24
Thu Oct 13 09:03:38 2016	1476342218	0	24	24	23
Thu Oct 13 09:03:39 2016	1476342219	0	26	26	25
Thu Oct 13 09:03:39 2016	1476342219	0	26	26	26
Thu Oct 13 09:03:38 2016	1476342218	0	26	26	25
Thu Oct 13 09:03:38 2016	1476342218	0	26	26	25
Thu Oct 13 09:03:38 2016	1476342218	0	26	26	26
Thu Oct 13 09:03:38 2016	1476342218	1	25	26	25
Thu Oct 13 09:03:39 2016	1476342219	0	26	26	26
Thu Oct 13 09:03:39 2016	1476342219	0	26	26	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	27
Thu Oct 13 09:03:38 2016	1476342218	0	27	27	27
Thu Oct 13 09:03:38 2016	1476342218	1	26	27	26
Thu Oct 13 09:03:38 2016	1476342218	0	27	27	25
Thu Oct 13 09:03:38 2016	1476342218	0	27	27	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	27
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	27
Thu Oct 13 09:03:39 2016	1476342219	1	26	27	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	26
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	27
Thu Oct 13 09:03:39 2016	1476342219	0	27	27	26
Thu Oct 13 09:03:39 2016	1476342219	1	26	27	25
Thu Oct 13 09:03:39 2016	1476342219	0	28	28	26
Thu Oct 13 09:03:39 2016	1476342219	0	28	28	27
Thu Oct 13 09:03:39 2016	1476342219	0	28	28	28
Thu Oct 13 09:03:39 2016	1476342219	1	27	28	27
Thu Oct 13 09:03:39 2016	1476342219	0	28	28	27
Thu Oct 13 09:03:39 2016	1476342219	0	28	28	28
Thu Oct 13 09:03:38 2016	1476342218	0	28	28	28
Thu Oct 13 09:03:38 2016	1476342218	0	29	29	29
Thu Oct 13 09:03:38 2016	1476342218	0	29	29	29
Thu Oct 13 09:03:38 2016	1476342218	1	28	29	28
Thu Oct 13 09:03:38 2016	1476342218	0	29	29	28
Thu Oct 13 09:03:39 2016	1476342219	0	29	29	29
Thu Oct 13 09:03:39 2016	1476342219	0	29	29	28
Thu Oct 13 09:03:38 2016	1476342218	0	30	30	30
Thu Oct 13 09:03:38 2016	1476342218	0	30	30	30
