starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:03:51 2016	1476342231	0	26	26	25
Thu Oct 13 09:03:53 2016	1476342233	0	26	26	26
Thu Oct 13 09:03:54 2016	1476342234	0	28	28	28
Thu Oct 13 09:03:57 2016	1476342237	0	28	28	28
Thu Oct 13 09:03:56 2016	1476342236	0	28	28	28
Thu Oct 13 09:03:53 2016	1476342233	0	28	28	28
Thu Oct 13 09:03:52 2016	1476342232	0	28	28	28
Thu Oct 13 09:03:51 2016	1476342231	0	28	28	28
Thu Oct 13 09:03:55 2016	1476342235	0	28	28	28
Thu Oct 13 09:03:51 2016	1476342231	0	28	28	28
Thu Oct 13 09:03:57 2016	1476342237	0	28	28	28
Thu Oct 13 09:03:53 2016	1476342233	0	28	28	28
Thu Oct 13 09:03:55 2016	1476342235	0	28	28	28
Thu Oct 13 09:03:56 2016	1476342236	0	28	28	28
Thu Oct 13 09:03:54 2016	1476342234	0	28	28	28
Thu Oct 13 09:03:52 2016	1476342232	0	28	28	28
Thu Oct 13 09:03:53 2016	1476342233	0	28	28	28
Thu Oct 13 09:03:53 2016	1476342233	0	28	28	28
Thu Oct 13 09:03:53 2016	1476342233	0	28	28	28
Thu Oct 13 09:03:52 2016	1476342232	0	29	29	29
Thu Oct 13 09:03:54 2016	1476342234	0	29	29	29
Thu Oct 13 09:03:55 2016	1476342235	0	29	29	29
Thu Oct 13 09:03:54 2016	1476342234	0	29	29	29
Thu Oct 13 09:03:54 2016	1476342234	0	29	29	29
Thu Oct 13 09:03:55 2016	1476342235	0	29	29	29
Thu Oct 13 09:03:51 2016	1476342231	0	29	29	29
Thu Oct 13 09:03:54 2016	1476342234	0	29	29	29
Thu Oct 13 09:03:55 2016	1476342235	0	29	29	29
Thu Oct 13 09:03:52 2016	1476342232	0	29	29	29
Thu Oct 13 09:03:56 2016	1476342236	0	29	29	29
Thu Oct 13 09:03:56 2016	1476342236	0	29	29	29
Thu Oct 13 09:03:54 2016	1476342234	0	29	29	29
Thu Oct 13 09:03:51 2016	1476342231	0	29	29	29
Thu Oct 13 09:03:56 2016	1476342236	0	29	29	29
Thu Oct 13 09:03:52 2016	1476342232	0	29	29	29
Thu Oct 13 09:03:56 2016	1476342236	0	29	29	29
Thu Oct 13 09:03:51 2016	1476342231	0	29	29	29
Thu Oct 13 09:03:57 2016	1476342237	0	29	29	29
Thu Oct 13 09:03:53 2016	1476342233	0	29	29	29
Thu Oct 13 09:03:55 2016	1476342235	0	29	29	29
Thu Oct 13 09:03:53 2016	1476342233	0	30	30	30
Thu Oct 13 09:03:53 2016	1476342233	0	30	30	30
Thu Oct 13 09:03:56 2016	1476342236	0	30	30	30
Thu Oct 13 09:03:56 2016	1476342236	0	30	30	30
Thu Oct 13 09:03:54 2016	1476342234	0	30	30	30
Thu Oct 13 09:03:54 2016	1476342234	0	30	30	30
Thu Oct 13 09:03:55 2016	1476342235	0	30	30	30
Thu Oct 13 09:03:55 2016	1476342235	0	30	30	30
Thu Oct 13 09:03:55 2016	1476342235	0	30	30	30
Thu Oct 13 09:03:55 2016	1476342235	0	30	30	30
Thu Oct 13 09:03:54 2016	1476342234	0	30	30	30
Thu Oct 13 09:03:57 2016	1476342237	0	30	30	30
Thu Oct 13 09:03:56 2016	1476342236	0	30	30	30
Thu Oct 13 09:03:56 2016	1476342236	0	30	30	30
Thu Oct 13 09:03:57 2016	1476342237	0	30	30	30
Thu Oct 13 09:03:53 2016	1476342233	0	30	30	30
Thu Oct 13 09:03:53 2016	1476342233	0	30	30	30
Thu Oct 13 09:03:56 2016	1476342236	0	30	30	30
Thu Oct 13 09:03:54 2016	1476342234	0	30	30	30
Thu Oct 13 09:03:55 2016	1476342235	0	30	30	30
Thu Oct 13 09:03:52 2016	1476342232	0	30	30	30
