starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:02:32 2016	1476342152	0	27	27	27
Thu Oct 13 09:02:32 2016	1476342152	1	56	57	56
Thu Oct 13 09:02:32 2016	1476342152	0	85	85	85
Thu Oct 13 09:02:32 2016	1476342152	0	117	117	117
Thu Oct 13 09:02:37 2016	1476342157	0	121	121	121
Thu Oct 13 09:02:37 2016	1476342157	0	121	121	121
Thu Oct 13 09:02:37 2016	1476342157	0	121	121	121
Thu Oct 13 09:02:35 2016	1476342155	0	121	121	121
Thu Oct 13 09:02:35 2016	1476342155	0	121	121	121
Thu Oct 13 09:02:33 2016	1476342153	0	121	121	121
Thu Oct 13 09:02:34 2016	1476342154	0	121	121	121
Thu Oct 13 09:02:35 2016	1476342155	0	121	121	121
Thu Oct 13 09:02:34 2016	1476342154	0	121	121	121
Thu Oct 13 09:02:34 2016	1476342154	0	121	121	121
Thu Oct 13 09:02:32 2016	1476342152	0	122	122	122
Thu Oct 13 09:02:33 2016	1476342153	0	122	122	122
Thu Oct 13 09:02:38 2016	1476342158	0	122	122	122
Thu Oct 13 09:02:32 2016	1476342152	0	122	122	122
Thu Oct 13 09:02:36 2016	1476342156	0	122	122	122
Thu Oct 13 09:02:38 2016	1476342158	0	122	122	122
Thu Oct 13 09:02:38 2016	1476342158	0	122	122	122
Thu Oct 13 09:02:34 2016	1476342154	0	122	122	122
Thu Oct 13 09:02:34 2016	1476342154	0	122	122	122
Thu Oct 13 09:02:36 2016	1476342156	0	122	122	122
Thu Oct 13 09:02:38 2016	1476342158	0	122	122	122
Thu Oct 13 09:02:34 2016	1476342154	0	122	122	122
Thu Oct 13 09:02:32 2016	1476342152	0	122	122	122
Thu Oct 13 09:02:34 2016	1476342154	0	122	122	122
Thu Oct 13 09:02:33 2016	1476342153	0	123	123	123
Thu Oct 13 09:02:38 2016	1476342158	0	123	123	123
Thu Oct 13 09:02:36 2016	1476342156	0	123	123	123
Thu Oct 13 09:02:33 2016	1476342153	0	123	123	123
Thu Oct 13 09:02:33 2016	1476342153	0	123	123	123
Thu Oct 13 09:02:38 2016	1476342158	0	123	123	123
Thu Oct 13 09:02:33 2016	1476342153	0	123	123	123
Thu Oct 13 09:02:33 2016	1476342153	0	123	123	123
Thu Oct 13 09:02:35 2016	1476342155	0	123	123	123
Thu Oct 13 09:02:36 2016	1476342156	0	123	123	123
Thu Oct 13 09:02:38 2016	1476342158	0	123	123	123
