starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:01:53 2016	1476342113	0	26	26	26
Thu Oct 13 09:01:51 2016	1476342111	0	27	27	27
Thu Oct 13 09:01:56 2016	1476342116	0	28	28	28
Thu Oct 13 09:01:52 2016	1476342112	0	28	28	28
Thu Oct 13 09:01:54 2016	1476342114	0	28	28	28
Thu Oct 13 09:01:54 2016	1476342114	0	28	28	28
Thu Oct 13 09:01:53 2016	1476342113	0	28	28	28
Thu Oct 13 09:01:53 2016	1476342113	0	28	28	28
Thu Oct 13 09:01:53 2016	1476342113	0	28	28	28
Thu Oct 13 09:01:52 2016	1476342112	0	28	28	28
Thu Oct 13 09:01:52 2016	1476342112	0	28	28	28
Thu Oct 13 09:01:55 2016	1476342115	0	28	28	28
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:55 2016	1476342115	0	29	29	29
Thu Oct 13 09:01:50 2016	1476342110	0	29	29	29
Thu Oct 13 09:01:56 2016	1476342116	0	29	29	29
Thu Oct 13 09:01:52 2016	1476342112	0	29	29	29
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:54 2016	1476342114	0	29	29	29
Thu Oct 13 09:01:55 2016	1476342115	0	29	29	29
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:53 2016	1476342113	0	29	29	29
Thu Oct 13 09:01:56 2016	1476342116	0	29	29	29
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:53 2016	1476342113	0	29	29	29
Thu Oct 13 09:01:51 2016	1476342111	0	29	29	29
Thu Oct 13 09:01:54 2016	1476342114	0	29	29	29
Thu Oct 13 09:01:56 2016	1476342116	0	29	29	29
Thu Oct 13 09:01:53 2016	1476342113	0	29	29	29
Thu Oct 13 09:01:50 2016	1476342110	0	29	29	29
Thu Oct 13 09:01:50 2016	1476342110	0	30	30	30
Thu Oct 13 09:01:55 2016	1476342115	0	30	30	30
Thu Oct 13 09:01:55 2016	1476342115	0	30	30	30
Thu Oct 13 09:01:56 2016	1476342116	0	30	30	30
Thu Oct 13 09:01:51 2016	1476342111	0	30	30	30
Thu Oct 13 09:01:54 2016	1476342114	0	30	30	30
Thu Oct 13 09:01:53 2016	1476342113	0	30	30	30
Thu Oct 13 09:01:52 2016	1476342112	0	30	30	30
Thu Oct 13 09:01:52 2016	1476342112	0	30	30	30
Thu Oct 13 09:01:52 2016	1476342112	0	30	30	30
Thu Oct 13 09:01:54 2016	1476342114	0	30	30	30
Thu Oct 13 09:01:52 2016	1476342112	0	30	30	30
Thu Oct 13 09:01:56 2016	1476342116	0	30	30	30
Thu Oct 13 09:01:54 2016	1476342114	0	30	30	30
Thu Oct 13 09:01:54 2016	1476342114	0	30	30	30
Thu Oct 13 09:01:54 2016	1476342114	0	30	30	30
Thu Oct 13 09:01:51 2016	1476342111	0	30	30	30
Thu Oct 13 09:01:51 2016	1476342111	0	30	30	30
Thu Oct 13 09:01:53 2016	1476342113	0	30	30	30
Thu Oct 13 09:01:55 2016	1476342115	0	30	30	30
