starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 13 09:02:18 2016	1476342138	0	29	29	29
Thu Oct 13 09:02:21 2016	1476342141	0	59	59	59
Thu Oct 13 09:02:22 2016	1476342142	0	59	59	59
Thu Oct 13 09:02:21 2016	1476342141	0	59	59	59
Thu Oct 13 09:02:21 2016	1476342141	0	59	59	59
Thu Oct 13 09:02:19 2016	1476342139	0	59	59	59
Thu Oct 13 09:02:24 2016	1476342144	0	59	59	59
Thu Oct 13 09:02:18 2016	1476342138	0	59	59	59
Thu Oct 13 09:02:18 2016	1476342138	0	59	59	59
Thu Oct 13 09:02:22 2016	1476342142	0	59	59	59
Thu Oct 13 09:02:22 2016	1476342142	0	59	59	59
Thu Oct 13 09:02:23 2016	1476342143	0	59	59	59
Thu Oct 13 09:02:21 2016	1476342141	0	59	59	59
Thu Oct 13 09:02:22 2016	1476342142	0	59	59	59
Thu Oct 13 09:02:22 2016	1476342142	0	59	59	59
Thu Oct 13 09:02:21 2016	1476342141	0	59	59	59
Thu Oct 13 09:02:19 2016	1476342139	0	60	60	60
Thu Oct 13 09:02:23 2016	1476342143	0	60	60	60
Thu Oct 13 09:02:24 2016	1476342144	0	60	60	60
Thu Oct 13 09:02:18 2016	1476342138	0	60	60	60
Thu Oct 13 09:02:23 2016	1476342143	0	60	60	60
Thu Oct 13 09:02:20 2016	1476342140	0	60	60	60
Thu Oct 13 09:02:20 2016	1476342140	0	60	60	60
Thu Oct 13 09:02:20 2016	1476342140	0	60	60	60
Thu Oct 13 09:02:23 2016	1476342143	0	60	60	60
Thu Oct 13 09:02:20 2016	1476342140	0	60	60	60
Thu Oct 13 09:02:22 2016	1476342142	0	60	60	60
Thu Oct 13 09:02:24 2016	1476342144	0	60	60	60
Thu Oct 13 09:02:19 2016	1476342139	0	60	60	60
Thu Oct 13 09:02:20 2016	1476342140	0	61	61	61
Thu Oct 13 09:02:21 2016	1476342141	0	61	61	61
Thu Oct 13 09:02:20 2016	1476342140	0	61	61	61
Thu Oct 13 09:02:22 2016	1476342142	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:20 2016	1476342140	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:21 2016	1476342141	0	61	61	61
Thu Oct 13 09:02:20 2016	1476342140	0	61	61	61
Thu Oct 13 09:02:21 2016	1476342141	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:22 2016	1476342142	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:22 2016	1476342142	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:22 2016	1476342142	0	61	61	61
Thu Oct 13 09:02:19 2016	1476342139	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:21 2016	1476342141	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:23 2016	1476342143	0	61	61	61
Thu Oct 13 09:02:18 2016	1476342138	0	61	61	61
Thu Oct 13 09:02:24 2016	1476342144	0	62	62	62
Thu Oct 13 09:02:20 2016	1476342140	0	62	62	62
Thu Oct 13 09:02:22 2016	1476342142	0	62	62	62
Thu Oct 13 09:02:23 2016	1476342143	0	62	62	62
Thu Oct 13 09:02:20 2016	1476342140	0	62	62	62
